model,relation,answer_space,n_total,accuracy,acquired_bits
pythia-2.8b,P364,25,150,0.08,27.863137138648344
pythia-2.8b,P403,16,144,0.24305555555555555,104.0
pythia-2.8b,P412,6,150,0.16666666666666666,0.0
pythia-2.8b,P413,25,150,0.08,27.863137138648344
pythia-2.8b,P427,60,60,0.13333333333333333,41.348234169259634
pythia-2.8b,P449,25,150,0.08666666666666667,32.50699332842307
pythia-2.8b,P463,25,150,0.15333333333333332,78.9455552261703
pythia-2.8b,P466,60,60,0.08333333333333333,23.627562382434075
pythia-2.8b,P509,25,150,0.06,13.93156856932417
pythia-2.8b,P610,60,60,0.21666666666666667,70.88268714730224
pythia-2.8b,P611,25,150,0.10666666666666667,46.43856189774725
pythia-2.8b,P641,25,150,0.08666666666666667,32.50699332842307
pythia-2.8b,P676,25,150,0.13333333333333333,65.01398665684613
pythia-2.8b,P1303,25,150,0.09333333333333334,37.150849518197795
pythia-2.8b,P1376,60,60,0.16666666666666666,53.162015360476666
pythia-2.8b,P1412,25,150,0.06666666666666667,18.575424759098894
pythia-2.8b,P1441,25,150,0.13333333333333333,65.01398665684613
pythia-2.8b,P1532,25,150,0.1,41.79470570797252
pythia-2.8b,P2632,21,147,0.05442176870748299,4.392317422778762
pythia-2.8b,P3373,60,60,0.06666666666666667,17.72067178682556
pythia-2.8b,P4552,24,144,0.22916666666666666,123.79398751947122
pythia-2.8b,P6886,25,150,0.11333333333333333,51.082418087521965
pythia-2.8b,P7937,25,150,0.09333333333333334,37.150849518197795
pythia-2.8b,P7959,25,150,0.08666666666666667,32.50699332842307
